使用计算设备 (Using Device): mps
初始化模型参数总数 (Model Parameters): 69,004
开始时空自动化研究实验流水线 (Commencing Spatio-Temporal Experiment Pipeline)...
Epoch 36 | Step 5650 | Loss: 0.1516 | Time Used: 527.8s / 900s
Epoch 36 | Step 5700 | Loss: 0.1451 | Time Used: 532.5s / 900s
Epoch 37 | Step 5750 | Loss: 0.1361 | Time Used: 537.2s / 900s
Epoch 37 | Step 5800 | Loss: 0.1668 | Time Used: 541.9s / 900s
Epoch 37 | Step 5850 | Loss: 0.1396 | Time Used: 546.7s / 900s
Epoch 38 | Step 5900 | Loss: 0.1452 | Time Used: 551.4s / 900s
Epoch 38 | Step 5950 | Loss: 0.1455 | Time Used: 556.1s / 900s
Epoch 38 | Step 6000 | Loss: 0.1504 | Time Used: 560.8s / 900s
Epoch 39 | Step 6050 | Loss: 0.1369 | Time Used: 565.5s / 900s
Epoch 39 | Step 6100 | Loss: 0.1513 | Time Used: 570.2s / 900s
Epoch 39 | Step 6150 | Loss: 0.1556 | Time Used: 574.9s / 900s
Epoch 39 | Step 6200 | Loss: 0.1404 | Time Used: 579.7s / 900s
Epoch 40 | Step 6250 | Loss: 0.1523 | Time Used: 584.4s / 900s
Epoch 40 | Step 6300 | Loss: 0.1559 | Time Used: 589.0s / 900s
Epoch 40 | Step 6350 | Loss: 0.1427 | Time Used: 593.7s / 900s
Epoch 41 | Step 6400 | Loss: 0.1381 | Time Used: 598.4s / 900s
Epoch 41 | Step 6450 | Loss: 0.1507 | Time Used: 603.1s / 900s
Epoch 41 | Step 6500 | Loss: 0.1338 | Time Used: 607.8s / 900s
Epoch 42 | Step 6550 | Loss: 0.1535 | Time Used: 612.5s / 900s
Epoch 42 | Step 6600 | Loss: 0.1507 | Time Used: 617.2s / 900s
Epoch 42 | Step 6650 | Loss: 0.1425 | Time Used: 621.9s / 900s
Epoch 43 | Step 6700 | Loss: 0.1402 | Time Used: 626.7s / 900s
Epoch 43 | Step 6750 | Loss: 0.1283 | Time Used: 631.5s / 900s
Epoch 43 | Step 6800 | Loss: 0.1397 | Time Used: 636.2s / 900s
Epoch 44 | Step 6850 | Loss: 0.1552 | Time Used: 640.9s / 900s
Epoch 44 | Step 6900 | Loss: 0.1512 | Time Used: 645.6s / 900s
Epoch 44 | Step 6950 | Loss: 0.1575 | Time Used: 650.3s / 900s
Epoch 45 | Step 7000 | Loss: 0.1451 | Time Used: 655.0s / 900s
Epoch 45 | Step 7050 | Loss: 0.1460 | Time Used: 659.7s / 900s
Epoch 45 | Step 7100 | Loss: 0.1551 | Time Used: 664.4s / 900s
Epoch 45 | Step 7150 | Loss: 0.1601 | Time Used: 669.1s / 900s
Epoch 46 | Step 7200 | Loss: 0.1417 | Time Used: 673.8s / 900s
Epoch 46 | Step 7250 | Loss: 0.1478 | Time Used: 678.5s / 900s
Epoch 46 | Step 7300 | Loss: 0.1464 | Time Used: 683.2s / 900s
Epoch 47 | Step 7350 | Loss: 0.1469 | Time Used: 688.0s / 900s
Epoch 47 | Step 7400 | Loss: 0.1591 | Time Used: 692.7s / 900s
Epoch 47 | Step 7450 | Loss: 0.1492 | Time Used: 697.4s / 900s
Epoch 48 | Step 7500 | Loss: 0.1356 | Time Used: 702.1s / 900s
Epoch 48 | Step 7550 | Loss: 0.1431 | Time Used: 706.8s / 900s
Epoch 48 | Step 7600 | Loss: 0.1425 | Time Used: 711.5s / 900s
Epoch 49 | Step 7650 | Loss: 0.1380 | Time Used: 716.2s / 900s
Epoch 49 | Step 7700 | Loss: 0.1373 | Time Used: 720.9s / 900s
Epoch 49 | Step 7750 | Loss: 0.1551 | Time Used: 725.6s / 900s
Epoch 50 | Step 7800 | Loss: 0.1518 | Time Used: 730.3s / 900s
Epoch 50 | Step 7850 | Loss: 0.1484 | Time Used: 735.0s / 900s
Epoch 50 | Step 7900 | Loss: 0.1547 | Time Used: 739.7s / 900s
Epoch 50 | Step 7950 | Loss: 0.1426 | Time Used: 744.4s / 900s
Epoch 51 | Step 8000 | Loss: 0.1489 | Time Used: 749.1s / 900s
Epoch 51 | Step 8050 | Loss: 0.1445 | Time Used: 753.9s / 900s
Epoch 51 | Step 8100 | Loss: 0.1487 | Time Used: 758.6s / 900s
Epoch 52 | Step 8150 | Loss: 0.1450 | Time Used: 763.3s / 900s
Epoch 52 | Step 8200 | Loss: 0.1376 | Time Used: 768.0s / 900s
Epoch 52 | Step 8250 | Loss: 0.1559 | Time Used: 772.8s / 900s
Epoch 53 | Step 8300 | Loss: 0.1452 | Time Used: 777.5s / 900s
Epoch 53 | Step 8350 | Loss: 0.1528 | Time Used: 782.2s / 900s
Epoch 53 | Step 8400 | Loss: 0.1502 | Time Used: 787.0s / 900s
Epoch 54 | Step 8450 | Loss: 0.1380 | Time Used: 791.7s / 900s
Epoch 54 | Step 8500 | Loss: 0.1462 | Time Used: 796.4s / 900s
Epoch 54 | Step 8550 | Loss: 0.1441 | Time Used: 801.1s / 900s
Epoch 55 | Step 8600 | Loss: 0.1472 | Time Used: 805.8s / 900s
Epoch 55 | Step 8650 | Loss: 0.1340 | Time Used: 810.5s / 900s
Epoch 55 | Step 8700 | Loss: 0.1450 | Time Used: 815.2s / 900s
Epoch 56 | Step 8750 | Loss: 0.1382 | Time Used: 819.9s / 900s
Epoch 56 | Step 8800 | Loss: 0.1388 | Time Used: 824.6s / 900s
Epoch 56 | Step 8850 | Loss: 0.1435 | Time Used: 829.4s / 900s
Epoch 56 | Step 8900 | Loss: 0.1466 | Time Used: 834.1s / 900s
Epoch 57 | Step 8950 | Loss: 0.1417 | Time Used: 838.8s / 900s
Epoch 57 | Step 9000 | Loss: 0.1562 | Time Used: 843.5s / 900s
Epoch 57 | Step 9050 | Loss: 0.1348 | Time Used: 848.3s / 900s
Epoch 58 | Step 9100 | Loss: 0.1463 | Time Used: 853.0s / 900s
Epoch 58 | Step 9150 | Loss: 0.1430 | Time Used: 857.7s / 900s
Epoch 58 | Step 9200 | Loss: 0.1312 | Time Used: 862.4s / 900s
Epoch 59 | Step 9250 | Loss: 0.1358 | Time Used: 867.2s / 900s
Epoch 59 | Step 9300 | Loss: 0.1558 | Time Used: 872.0s / 900s
Epoch 59 | Step 9350 | Loss: 0.1491 | Time Used: 876.7s / 900s
Epoch 60 | Step 9400 | Loss: 0.1363 | Time Used: 881.4s / 900s
Epoch 60 | Step 9450 | Loss: 0.1529 | Time Used: 886.1s / 900s
Epoch 60 | Step 9500 | Loss: 0.1410 | Time Used: 890.8s / 900s
Epoch 61 | Step 9550 | Loss: 0.1505 | Time Used: 895.5s / 900s
达到强制时间预算上限 (Forced time budget reached). 停止训练序列流.

--- 训练进程关闭 (Training Closed), 启动验证 (Commencing Verification) ---
---
val_mae:          23.721385
vs_DCRNN_%:  +1.57%
val_rmse:         38.034751
training_seconds: 900.1
total_seconds:    905.5
peak_vram_mb:     2414.8
num_steps:        9599
num_params_M:     0.069004
